"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Slc2a8",723.811218940263,-0.51706699542983,0.0943270543977054,-5.48164043424649,4.21400023132486e-08,3.17772721846447e-07
"Ak1",1821.43807791941,0.445745802129504,0.0814537572971801,5.47237864673599,4.44034816486278e-08,3.32748590604404e-07
"Chmp4b",4177.08571546736,0.225998147271356,0.0413530152315283,5.46509477014027,4.62659556900059e-08,3.44552055107559e-07
"Lcmt2",698.45690857873,-0.810085114216784,0.14835353041101,-5.4605044583197,4.74783566660678e-08,3.51398454584045e-07
"Camk1d",170.810643705837,-1.11806069607563,0.2048739652828,-5.45730978815345,4.83402547997607e-08,3.55582610459589e-07
"Tmem8c",36.6638879148525,2.11636416396969,0.389414908740683,5.43472814334135,5.48800388897274e-08,4.01226625785263e-07
"E030013I19Rik",257.059022937469,-1.0350471986194,0.191052220182135,-5.41761408285475,6.03996101920773e-08,4.38903834062428e-07
"Tnks1bp1",7126.22609434169,0.37354652362863,0.0690454225835297,5.41015623702963,6.29697881967481e-08,4.54823952095789e-07
"Gm13315",389.417811212824,0.654248692475354,0.121233602627898,5.39659531923206,6.79173372450627e-08,4.87622079981019e-07
"Itpa",661.272786817117,0.455310972489624,0.0856094333055252,5.31846731031028,1.04645016222184e-07,7.46841514585703e-07
"Creb3l1",4476.60064327351,0.583117360299941,0.109719810380473,5.31460415651354,1.06889429078763e-07,7.58345712813237e-07
"Zer1",1788.50365236546,-0.405809660147638,0.0765458929798579,-5.30152101373253,1.14841826135968e-07,8.09972644335442e-07
"Surf1",1052.07225806791,-0.446499911406041,0.0845583023379149,-5.2803793248086,1.28916709673617e-07,9.03924765489283e-07
"Pcmtd2",1205.76173974168,-0.493541431422247,0.0936356615794719,-5.27087034039228,1.357783648131e-07,9.46501508202947e-07
"Mtx2",634.73646491777,0.342671699654338,0.0654354530360437,5.23678959578052,1.63393780048659e-07,1.13242278773608e-06
"Ywhab",7728.81113696138,0.289692050057545,0.0553802927569135,5.23095916681265,1.68632759124157e-07,1.16201539189577e-06
"Pax1",73.7105907721883,-1.15499794003617,0.22098833366709,-5.22651092421976,1.7273861791936e-07,1.18350630220178e-06
"Ppp6c",753.725433520944,0.346848790808385,0.0666823654808201,5.20150699975018,1.9767902574472e-07,1.3466883628859e-06
"Il1rn",48.573527504289,3.69088064499186,0.710722818054638,5.19313655229811,2.0678040221723e-07,1.40073278112123e-06
"Ralgds",2619.77159534692,-0.457497745109137,0.088239349126374,-5.18473617086547,2.16320867553685e-07,1.45712764155544e-06
"Api5",2240.6094567671,0.316712985440003,0.0611537603334753,5.17896174679934,2.23124212043131e-07,1.49455826949561e-06
"Rin2",4944.87199040187,-0.575921504478325,0.112203068697933,-5.1328498512709,2.85387574496623e-07,1.90099834345251e-06
"Pcif1",1398.59260485572,-0.352438846395611,0.0688693269412489,-5.11750095505173,3.09610495341021e-07,2.04667407321257e-06
"Gins1",63.5104911357869,1.35069427224857,0.263969584725992,5.11685569248682,3.10671127043109e-07,2.04667407321257e-06
"Tshz2",2791.86608617626,-0.365009050122439,0.0716624922846057,-5.09344621552952,3.51612830848262e-07,2.30373652561238e-06
"St6galnac6",1689.91364524435,-0.325748621621495,0.0641131855408475,-5.08083663092914,3.75776187581442e-07,2.44867200494646e-06
"Pomt1",1233.43106024582,-0.422073234804384,0.083215352046562,-5.07205971523402,3.93532849092654e-07,2.55051830303833e-06
"Pdyn",15.9409500930839,2.2174202566444,0.439389178593634,5.04659733255552,4.4974782336845e-07,2.89918086139124e-06
"Pla2r1",4418.73536281797,-0.41226245809395,0.0817845377152089,-5.04083619729607,4.63502077250157e-07,2.97186626001571e-06
"Ptprj",404.541642152821,0.710288229488242,0.141479907175167,5.02041769513482,5.15592397255627e-07,3.2882727888803e-06
"Stom",813.669017563693,0.589564778153737,0.11768410302223,5.0097231742708,5.45083838768972e-07,3.45796572848676e-06
"Scn2a1",454.261644701693,-0.503671868396913,0.100570295060407,-5.00815740964451,5.49535843631644e-07,3.46786040270706e-06
"Fam73b",1396.146663978,-0.517100105160718,0.1034941162288,-4.99642031840282,5.84042911563328e-07,3.66632173279806e-06
"Ndufa8",903.740114925368,0.292235465131173,0.0585302541525166,4.9928958854283,5.94806256636126e-07,3.71444115472247e-06
"Rgs19",349.675861235826,0.579390034949491,0.116747615968157,4.9627568849673,6.94995542571962e-07,4.31761479556364e-06
"Tspyl3",302.584618180227,-0.494527611863006,0.0997988087323645,-4.95524564014792,7.22389682230155e-07,4.46466612883482e-06
"Nsmf",2598.61096418326,-0.319678471320128,0.0645546091003317,-4.95206269196486,7.3430937887634e-07,4.51506125780888e-06
"Cstf3",436.629003763788,0.433271407299822,0.0878920074586987,4.9295882507112,8.24031057102753e-07,5.04088386462347e-06
"Nop56",1400.09246676478,0.404558769330214,0.0822118050000979,4.9209328189514,8.61326949974428e-07,5.24228940618954e-06
"Raly",3370.02232463369,0.286603687479434,0.0585187888771863,4.89763532326225,9.69968334511829e-07,5.87369713676608e-06
"1110034G24Rik",162.270977879031,-0.574854543736334,0.117594149510188,-4.88846210573196,1.01626754371203e-06,6.12313962266698e-06
"Ola1",753.751534209819,0.444147900800849,0.0916245020416611,4.84747955954945,1.2503991123758e-06,7.49614267869292e-06
"Spg11",1912.12568145248,-0.274014069957578,0.0565883027912371,-4.8422387037911,1.28384402608772e-06,7.65835317054315e-06
"Atp9a",1256.03567245222,-0.447229077188066,0.09270806445061,-4.82405796991184,1.4066650439626e-06,8.34946231540175e-06
