"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Nmi",516.870847166433,-0.61754095449433,0.100461557549021,-6.14703742964562,7.89435054554758e-10,8.02146296958605e-09
"Lcmt2",698.45690857873,0.910324954347318,0.148913635485501,6.11310677749154,9.77099446558543e-10,9.84489274305625e-09
"Nup188",1575.31285571467,-0.424001563659797,0.0694540183534496,-6.10478088542069,1.02941805983999e-09,1.02856021145679e-08
"Dnm1",4176.20485223804,0.656978412044013,0.107815889760302,6.0935212194104,1.10453686139773e-09,1.09449561720321e-08
"Pdyn",15.9409500930839,-3.33122328183315,0.54745193168134,-6.08496032081257,1.1652016377302e-09,1.14514488822828e-08
"Gins1",63.5104911357869,-1.68546766488067,0.277253899400606,-6.07914863785316,1.20822322353483e-09,1.1682739072728e-08
"Ggt7",138.342483768064,-1.04569086011042,0.172000332209132,-6.07958628149033,1.20493031870286e-09,1.1682739072728e-08
"Dut",442.909159329365,-0.914644490402337,0.15197724488945,-6.01829893065674,1.76259473571757e-09,1.69068087050029e-08
"Cd44",2926.46251588864,-1.15680703902786,0.192637984102885,-6.00508276919066,1.91234323421199e-09,1.81976153795252e-08
"Pcna",1755.75216127696,-0.673495013389674,0.112505502485962,-5.98632954395909,2.1462929334312e-09,2.02630332849135e-08
"Ahcy",1446.9406159185,-0.624120946815354,0.104435575104034,-5.97613357511206,2.28495669993456e-09,2.14036178376683e-08
"Atp5g3",2374.79120556643,-0.439813782480658,0.073949919131913,-5.94745454279823,2.72344363931368e-09,2.53132474692799e-08
"Zdhhc5",2922.54093813182,-0.334203246625164,0.0562703131067288,-5.93924625923577,2.86335480348155e-09,2.64089416105721e-08
"Ly75",17.3327729865557,-4.87000366872883,0.821853409125335,-5.92563541704083,3.11092098719481e-09,2.84732386537907e-08
"Olfm1",1364.67996551651,0.467002957442979,0.0788753059223884,5.9207752284663,3.20427553826105e-09,2.91055028058712e-08
"Itpa",661.272786817117,-0.51501577075485,0.0874211300211235,-5.89120468507336,3.83390315616927e-09,3.45627810845635e-08
"Spg11",1912.12568145248,0.335372784847734,0.0572006863372933,5.86309022360594,4.54331187127114e-09,4.0652469654135e-08
"Nkain4",265.534135787121,0.723040317449537,0.124889398193934,5.78944512429123,7.06193233732512e-09,6.27204212774283e-08
"Slc24a3",1374.13519854249,0.712584338729254,0.123291024913133,5.77969352782426,7.48368244100469e-09,6.59774650497399e-08
"D630003M21Rik",541.988276964339,0.974110608209704,0.168678473473722,5.77495508554897,7.69736149675733e-09,6.73659593767302e-08
"Ak1",1821.43807791941,-0.473494896126999,0.0821453435203981,-5.76411121842131,8.20892716230084e-09,7.13224903449182e-08
"Slmo2",620.177561060085,-0.48201911695025,0.0838945635021325,-5.74553459519456,9.16310196065172e-09,7.9039994610226e-08
"Casc4",3381.41500140385,0.665366496000683,0.116008674750948,5.73548915569563,9.72313136294619e-09,8.32716750298034e-08
"Timm10",151.834472026288,-0.734070175921633,0.128363890042723,-5.7186657063549,1.07363782704034e-08,9.1297287561799e-08
"Tspan18",905.560247090009,0.669135822231716,0.117402688430304,5.69949318178474,1.20164130279997e-08,1.01462529722335e-07
"Pomt1",1233.43106024582,0.477631757890238,0.0838728517388166,5.69471226968176,1.23580149383062e-08,1.03617202175029e-07
